Loss,Accuracy
50,0.001
1.01189e+060.51408
2010200.925156
1564900.943681
1331340.953562
1173500.958156
1065950.963442
99710.70.965221
98333.20.966011
1036860.965171
1139820.960824
1331340.954599
1540510.945262
1594600.94625
1393830.950845
1002160.966209
70833.80.976534
61130.50.979992
56733.30.980634
53163.90.982067
50058.90.983154
47362.30.984191
451560.985328
43898.70.985031
43686.30.986266
44143.70.985822
43477.50.98681
44230.60.986217
44204.10.986908
464950.986563
468130.986266
48166.70.986118
46159.30.986316
43944.50.987057
38259.90.988292
33027.30.989626
29733.80.991009
28009.80.991108
26614.70.991947
254020.992244
24382.40.99259
23755.90.992837
23933.80.992935
25748.10.992491
27970.20.992787
335540.991355
42768.30.990317
62121.80.983648
81604.50.977226
976170.968037
84391.70.974113
58850.50.982215
31689.90.990663
25089.60.99254
23476.10.992985
22232.80.99338
21217.60.993677
20332.60.993825
19565.90.994022
189220.994319
18402.20.994665
18094.70.994813
176110.995208
17318.80.995307
16777.40.995554
16572.40.995751
16024.90.995702
15869.20.995801
15330.90.995998
15135.50.996097
14593.50.996147
14224.60.996591
13634.40.996591
13197.60.996888
128850.996888
12812.80.996838
13412.30.996789
16678.30.996789
18148.30.996344
23414.10.995653
23519.90.996196
27834.20.994665
25243.90.995801
24602.40.994763
17021.60.996394
14353.70.996838
12718.50.997085
12202.90.997283
11840.30.997382
11535.50.997382
11320.40.997382
11214.80.997382
11158.90.997431
11190.90.997431
11047.40.997382
11108.10.997579
11074.60.997579
11257.30.997629
11104.20.997579
11284.60.997678
11277.20.997629
12368.10.997579
12928.20.997727
15715.10.997629
16051.30.99748
19935.30.997036
20313.20.996937
25625.10.995455
26169.60.996048
30392.80.993874
25943.70.995603
19191.60.996245
12208.10.99753
11466.20.997777
11127.90.997777
10856.90.997826
10641.60.997826
10458.30.997826
10304.10.997876
10160.70.997876
10031.20.997925
9923.220.997975
9827.060.997975
9737.830.997975
9696.930.998123
9625.670.998073
9512.970.998172
9420.250.998172
9338.190.998123
9280.080.998172
9241.080.998222
9191.840.998222
9142.950.998222
9132.820.998222
9139.260.998222
9128.90.998222
9144.350.998222
9095.570.998222
9022.50.998222
8914.360.998222
8834.640.998222
8784.730.998222
8742.560.998222
8706.460.99832
8667.110.99832
8634.080.99832
8610.140.99832
8595.420.99837
8583.160.99832
8538.890.99837
8502.050.99837
8469.050.99837
8429.930.99837
8392.940.99837
8381.270.99837
8381.430.99837
8448.430.99837
8626.970.99837
9268.060.99832
9963.080.998518
10448.60.998271
101340.998617
10105.40.998271
9087.270.99837
8477.40.99837
8368.450.998419
8311.610.998419
8268.960.998419
8234.740.998469
8201.740.998469
8175.350.998469
8148.650.998469
8128.20.998518
8095.470.998518
8075.470.998518
8049.230.998518
8032.890.998518
8012.720.998518
7991.50.998518
7969.390.998518
7977.350.998518
7935.320.998518
7895.610.998518
7871.280.998518
7846.130.998518
7826.650.998518
7805.350.998518
7790.610.998518
7793.320.998518
7836.060.998518
7891.710.998518
8041.720.998567
8385.590.998518
9093.850.998518
12396.80.998518
189600.998617
38130.90.994269
75150.80.983994
1331090.952722
1640600.939581
1496820.947683
