1,0.001,3000
Loss,Accuracy
0.924411,0.485278
0.144924,0.966159
0.119348,0.973866
0.108636,0.977621
0.102531,0.98014
0.098623,0.981672
0.0960828,0.982907
0.0941081,0.983994
0.0929484,0.984587
0.0919752,0.985179
0.0909808,0.985575
0.0905117,0.986217
0.0901718,0.986711
0.0899376,0.987155
0.089377,0.987304
0.089205,0.987402
0.089019,0.987402
0.0888413,0.987798
0.0889522,0.987946
0.0888834,0.987995
0.0888476,0.988094
0.088846,0.98839
0.0887562,0.988193
0.0886886,0.988687
0.0883703,0.988588
0.0883068,0.988687
0.0887369,0.988736
0.0883626,0.988835
0.0883148,0.988884
0.0885254,0.988983
28886,30000,0.962867
